Product Name,Price,Product Link,Image Link
"vivo Y28e 5G (4GB RAM, 128GB, Breeze Green)","₹11,999",https://www.croma.com/vivo-y28e-5g-4gb-ram-128gb-breeze-green-/p/307889,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721222073/Croma%20Assets/Communication/Mobiles/Images/307889_0_xgcoa9.png?tr=w-400
"Nothing Phone 2a 5G (12GB RAM, 256GB, Black)","₹27,999",https://www.croma.com/nothing-phone-2a-5g-12gb-ram-256gb-black-/p/305349,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1710331545/Croma%20Assets/Communication/Mobiles/Images/305349_0_yqd0pp.png?tr=w-400
"vivo Y58 5G (8GB RAM, 128GB, Sundarbans Green)","₹18,499",https://www.croma.com/vivo-y58-5g-8gb-ram-128gb-sundarbans-green-/p/307610,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1718990445/Croma%20Assets/Communication/Mobiles/Images/307610_0_wxcszw.png?tr=w-400
"Redmi Note 13 5G (6GB RAM, 128GB, Arctic White)","₹15,999",https://www.croma.com/redmi-note-13-5g-6gb-ram-128gb-arctic-white-/p/303492,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1703920474/Croma%20Assets/Communication/Mobiles/Images/303492_l0ylzr.png?tr=w-400
"Redmi 13 5G (6GB RAM, 128GB, Black Diamond)","₹13,499",https://www.croma.com/redmi-13-5g-6gb-ram-128gb-black-diamond-/p/307689,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1720689838/Croma%20Assets/Communication/Mobiles/Images/307689_0_ripaxw.png?tr=w-400
"vivo V40 5G (12GB RAM, 512GB, Lotus Purple)","₹41,999",https://www.croma.com/vivo-v40-5g-12gb-ram-512gb-lotus-purple-/p/308788,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1722953556/Croma%20Assets/Communication/Mobiles/Images/308788_0_hqb1qf.png?tr=w-400
"vivo T3 Lite 5G (6GB RAM, 128GB, Vibrant Green)","₹11,499",https://www.croma.com/vivo-t3-lite-5g-6gb-ram-128gb-vibrant-green-/p/307900,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1719500006/Croma%20Assets/Communication/Mobiles/Images/307900_0_mn1ahc.png?tr=w-400
"OnePlus 12R 5G (8GB, 256GB, Cool Blue)","₹37,999",https://www.croma.com/oneplus-12r-5g-8gb-256gb-cool-blue-/p/305652,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1717069184/Croma%20Assets/Communication/Mobiles/Images/305652_0_amfx8w.png?tr=w-400
"OnePlus Nord 4 5G (8GB RAM, 256GB, Oasis Green)","₹32,999",https://www.croma.com/oneplus-nord-4-5g-8gb-ram-256gb-oasis-green-/p/308681,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721474979/Croma%20Assets/Communication/Mobiles/Images/308681_0_dvuwg7.png?tr=w-400
"vivo T3x 5G (4GB RAM, 128GB, Crimson Bliss)","₹12,999",https://www.croma.com/vivo-t3x-5g-4gb-ram-128gb-crimson-bliss-/p/306352,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1713362471/Croma%20Assets/Communication/Mobiles/Images/306352_0_hyllug.png?tr=w-400
"Redmi 13 5G (8GB RAM, 128GB, Black Diamond)","₹14,999",https://www.croma.com/redmi-13-5g-8gb-ram-128gb-black-diamond-/p/307692,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1720689711/Croma%20Assets/Communication/Mobiles/Images/307692_0_pw8p1e.png?tr=w-400
